StudentNo,The Godfather (1972),Taxi Driver (1976),Seinfeld (1989),The GoodFellas (1990),The Shawshank Redemption (1994),Pulp Fiction (1994),Cowboy Bebop (1998),One Piece (1999),Fight Club (1999),Shrek (2001),Zoolander (2001),Spirited Away (2001),The Lord of the Rings: The Return of the King (2003),Arrested Development (2003),The Office (2005),Naruto Shippuden (2007),Transformers (2007),The Dark Knight (2008),Iron Man (2008),Breaking Bad (2008),Despicable Me (2010),How to Train Your Dragon (2010),Hot Tub Time Machine (2010),The Social Network (2010),Inception (2010),Downton Abbey (2010),Black Mirror (2011),The Hunger Games (2012),21 Jump Street (2012),Frozen (2013),The Wolf of Wallstreet (2013),Attack on Titan (2013),The Grandmaster (2013),Boyhood (2014),Interstellar (2014),Guardians of the Galaxy (2014),The Hunger Games: Mockingjay - Part 1 (2014),Mad Max: Fury Road (2015),Fifty Shades of Grey (2015),Minions (2015),Furious 7 (2015),Stranger Things (2016),Zootopia (2016),Deadpool (2016),Moonlight (2016),Get Out (2017),It (2017),Beauty and the Beast (2017),Star Wars: Episode VIII - The Last Jedi (2017),Ozark (2017),Jurassic World: Fallen Kingdom (2018),Black Panther (2018),Deadpool 2 (2018),Burning (2018),Roma (2018),Game Night (2018),Bohemian Rhapsody (2018),1917 (2019),Parasite (2019),Knives Out (2019),Avengers: Endgame (2019),Star Wars: Episode IX - The Rise of Skywalker (2019),The Irishman (2019),The Lion King (2019),Euphoria (2019),Ne Zha (2019),Nomadland (2020),Sonic the Hedgehog (2020),Squid Game (2021),Dune (2021),No Time to Die (2021),"Hi, Mom (2021)",Judas and the Black Messiah (2021),F9 (2021),The Battle of Lake Changjin (2021),Raya and the Last Dragon (2021),The falls (2021),White Lotus (2021),Top gun: Maverick (2022),Inventing Anna (2022),Severance (2022),Avatar: The way of water (2022),M3gan (2022),Spy x Family (2022),House of the dragon (2022),RRR (2022)
2232177,,,2.0,,4.0,4.0,5.0,5.0,,5.0,,5.0,4.0,4.0,3.0,5.0,2.0,4.0,1.0,5.0,5.0,5.0,,,4.0,,4.0,5.0,4.0,3.0,4.0,4.0,,,4.0,4.0,5.0,,,3.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,,,4.0,4.0,5.0,5.0,5.0,4.0,5.0,,5.0,5.0,,,,5.0,5.0,4.0,,,,,4.0,,4.0,4.0,,,4.0,5.0,4.0,,
1900076,4.0,4.0,2.0,,,5.0,2.0,3.0,5.0,4.0,5.0,2.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,,3.0,3.0,3.0,4.0,2.0,4.0,2.0,5.0,,,,5.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,4.0,,,,3.0,3.0,4.0,3.0,3.0,4.0,,,,,5.0,,4.0,4.0,2.0,3.0,3.0,2.0,,,3.0,3.0,4.0,4.0,,,2.0,,4.0,,,4.0,,,4.0,,5.0,5.0,
2122557,,,,,,,,,,,,,,,4.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2072291,,,,,5.0,,,3.0,,3.0,,4.0,2.0,,,4.0,4.0,3.0,4.0,,5.0,5.0,,4.0,,,,4.0,,4.0,5.0,5.0,,,,5.0,4.0,,5.0,5.0,,5.0,5.0,5.0,,1.0,1.0,5.0,3.0,,4.0,5.0,5.0,,,2.0,,,4.0,,5.0,,,3.0,,,,5.0,4.0,,,,,,,5.0,,,,,,,,3.0,,
2161163,,,,,,,,,,3.0,,,3.0,,,,4.0,2.0,5.0,,4.0,5.0,,3.0,,,,4.0,,4.0,,5.0,,,,4.0,3.0,,,5.0,4.0,,5.0,4.0,,3.0,3.0,3.0,,,3.0,4.0,3.0,,,4.0,,,,4.0,4.0,,,,,,,,5.0,,2.0,,,4.0,,2.0,,,5.0,,,4.0,,3.0,,
2166193,,,,,,,5.0,5.0,,,,5.0,,,,5.0,5.0,5.0,5.0,,3.0,5.0,,,,,,4.0,,3.0,,5.0,,,,5.0,,,,,,,,,,,,3.0,3.0,,,5.0,,,,,,,,,5.0,2.0,,,,,,,,,,,,,,,,,5.0,,,4.0,,5.0,,
1937870,,5.0,,5.0,3.0,,,,5.0,2.0,,,3.0,,1.0,,2.0,4.0,1.0,4.0,,2.0,,5.0,4.0,,,,4.0,1.0,5.0,,,,4.0,1.0,,4.0,1.0,,,5.0,,,3.0,,,,,,,1.0,1.0,5.0,,,,4.0,5.0,3.0,1.0,,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,
2131300,,,,,3.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,,,3.0,,4.0,3.0,2.0,4.0,3.0,3.0,,,5.0,,3.0,2.0,2.0,2.0,2.0,4.0,5.0,,,4.0,,2.0,,1.0,2.0,3.0,,,,,3.0,,3.0,4.0,4.0,,,1.0,4.0,,,,3.0,2.0,,,,1.0,,2.0,,4.0,,,,,,,,
2135838,5.0,,,3.0,,4.0,,,4.0,3.0,,,,,,,4.0,5.0,5.0,,4.0,5.0,,,,,,,5.0,2.0,4.0,,,,,4.0,,,,,3.0,5.0,,4.0,,4.0,2.0,,2.0,,,5.0,3.0,,,,,,5.0,,5.0,,,4.0,,,,,5.0,,2.0,,,,,,,,5.0,,,,,,,
1961788,5.0,4.0,4.0,5.0,5.0,4.0,,,4.0,3.0,3.0,,5.0,,5.0,,4.0,4.0,4.0,5.0,4.0,4.0,3.0,5.0,5.0,,5.0,5.0,4.0,2.0,5.0,,,,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,,4.0,2.0,5.0,4.0,4.0,2.0,,4.0,4.0,4.0,,,4.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,,,4.0,4.0,3.0,4.0,,,,,,,4.0,5.0,3.0,,5.0,,,5.0,3.0
